X,Y,fid,New Name,Lon,Lat,Path,RelPath,Images,File Name Old,Name,Category,Location,Address,Year of Installation,Medium,Installation & Maintenance,Artist,Other Details,Latitude,Longitude,layer,icon_url
77.560342,12.9631381997222,"80",089.jpg,77.560342,12.9631381997222,D:/Research Grant/Images First Batch\089.jpg,./Images First Batch/089.jpg,"<img src = ""./Images First Batch/089.jpg"" width=""300"" height=""225""/>",20220828_100108,Dr. Rajkumar,Movies,Traffic island ,"Dr.Raj Circle, Binny road, Chamarajapete","2011",,Karnataka Rakshana Vedike,,,,,First Batch Statues and Sculptures,./0.png
77.5451115,12.9850229,"81",090.jpg,77.5451115,12.9850229,D:/Research Grant/Images First Batch\090.jpg,./Images First Batch/090.jpg,"<img src = ""./Images First Batch/090.jpg"" width=""300"" height=""225""/>",20220610_113340,Dr. Rajkumar,Movies,Street corner,"Kantheerava colony entrance arch, Agrahara Dasarahallli","2013",Stone,Kasturi Kannada Dr Raj Cultural and Sports  Association,,,,,First Batch Statues and Sculptures,./0.png
77.5357445,13.0009861997222,"82",091.jpg,77.5357445,13.0009861997222,D:/Research Grant/Images First Batch\091.jpg,./Images First Batch/091.jpg,"<img src = ""./Images First Batch/091.jpg"" width=""300"" height=""225""/>",20220809_110029,Dr. Rajkumar,Movies,Memorial Park ,"Kumaravyasa circle, Kurubarahalli","2012","Stone, Fiber glass",Chalukya Dr. Rajkumar Trust,,,,,First Batch Statues and Sculptures,./0.png
77.5762263997222,12.9750183997222,"83",092.jpg,77.5762263997222,12.9750183997222,D:/Research Grant/Images First Batch\092.jpg,./Images First Batch/092.jpg,"<img src = ""./Images First Batch/092.jpg"" width=""300"" height=""225""/>",20200713_120711 Majestic KG road,Dr. Rajkumar,Movies,Traffic island ,"KG Road, Majestic","2007",,Akhila Karnataka Dr.Raj Abhimanigala Sangha,,,,,First Batch Statues and Sculptures,./0.png
77.5497380997222,12.9934960997222,"84",093.jpg,77.5497380997222,12.9934960997222,D:/Research Grant/Images First Batch\093.jpg,./Images First Batch/093.jpg,"<img src = ""./Images First Batch/093.jpg"" width=""300"" height=""225""/>",20200729_064044,Dr. Rajkumar,Movies,Street corner,"1st Main, Manjunathanagara",,,,,,,,First Batch Statues and Sculptures,./0.png
77.5426597997222,12.9772131,"85",094.jpg,77.5426597997222,12.9772131,D:/Research Grant/Images First Batch\094.jpg,./Images First Batch/094.jpg,"<img src = ""./Images First Batch/094.jpg"" width=""300"" height=""225""/>",20200722_064615,Dr. Rajkumar,Movies,Street corner,"4th mina, MC layout","2018",,Kalajyothi Dr.Raj Abhimanigala Sangha,,,,,First Batch Statues and Sculptures,./0.png
77.5605299997222,12.9973331,"86",096.jpg,77.5605299997222,12.9973331,D:/Research Grant/Images First Batch\096.jpg,./Images First Batch/096.jpg,"<img src = ""./Images First Batch/096.jpg"" width=""300"" height=""225""/>",20220424_084743,Dr. Rajkumar,Movies,Street corner,"Opp Harischandraghat crematorium, Rajajinagara","2015",,Karnataka Rakshana Vedike,,,,,First Batch Statues and Sculptures,./0.png
77.5513961,12.9735174997222,"87",097.jpg,77.5513961,12.9735174997222,D:/Research Grant/Images First Batch\097.jpg,./Images First Batch/097.jpg,"<img src = ""./Images First Batch/097.jpg"" width=""300"" height=""225""/>",20220424_095211,Dr. Rajkumar,Movies,Memorial Park ,"Opp Prasanna Theatre, Magadi road",,,Sri Muttu Dr.Shivarajkumar Kannada Yuva Vedike,,,,,First Batch Statues and Sculptures,./0.png
77.5602935997222,12.9829839,"88",098.jpg,77.5602935997222,12.9829839,D:/Research Grant/Images First Batch\098.jpg,./Images First Batch/098.jpg,"<img src = ""./Images First Batch/098.jpg"" width=""300"" height=""225""/>",20210822_091146,Dr. Rajkumar,Movies,Traffic island ,Rajajinagara entrance,"2017",Bronze,Karnataka Rakshana Vedike,,,,,First Batch Statues and Sculptures,./0.png
77.5614242,13.0038298997222,"89",099.jpg,77.5614242,13.0038298997222,D:/Research Grant/Images First Batch\099.jpg,./Images First Batch/099.jpg,"<img src = ""./Images First Batch/099.jpg"" width=""300"" height=""225""/>",20220424_085349,Dr. Rajkumar,Movies,Street corner,"Swatantraveera Savarkar road, Gyatrinagara ",,,,,,,,First Batch Statues and Sculptures,./0.png
